timestamp,BPM
1744827041.6387484,58.0,0
1744827042.2581258,60.0,0
1744827043.0833058,60.0,0
1744827043.4959126,60.0,0
1744827044.5253427,55.0,0
1744827045.2460804,65.0,0
1744827045.7712264,71.0,0
1744827046.1915643,77.0,0
1744827046.5047746,80.0,0
1744827046.9208114,96.0,0
1744827047.135858,108.0,0
1744827047.4474583,114.0,0
1744827047.7621753,126.0,0
1744827048.0754418,133.0,0
1744827048.390688,157.0,0
1744827048.6998656,176.0,0
1744827048.9158208,189.0,0
1744827049.2240808,202.0,0
1744827050.9488227,136.0,0
1744827052.1690962,113.0,0
1744827053.3973262,96.0,0
1744827054.6186578,84.0,0
1744827055.9387674,73.0,0
1744827057.370564,64.0,0
1744827058.2840154,60.0,0
1744827067.4753668,71.0,0
1744827068.5864227,68.0,0
1744827069.9960918,64.0,0
1744827070.8024771,65.0,0
1744827074.4285522,104.0,0
1744827074.9392738,107.0,0
1744827080.1735003,56.0,0
1744827081.185535,57.0,0
1744827082.8023002,54.0,0
1744827083.7205915,54.0,0
1744827085.7344718,50.0,0
1744827087.0452561,49.0,0
1744827089.4716244,44.0,0
1744827091.1872065,42.0,0
1744827092.3990054,42.0,0
1744827093.1052108,43.0,0
1744827093.6153479,44.0,0
1744827094.0215716,46.0,0
1744827094.6288836,50.0,0
1744827095.2361696,52.0,0
1744827095.7408442,60.0,0
1744827096.3557827,64.0,0
1744827096.6594827,82.0,0
1744827096.965748,103.0,0
1744827097.2709465,122.0,0
1744827097.676129,130.0,0
1744827098.282957,129.0,0
1744827098.5905535,130.0,0
1744827098.8955567,140.0,0
1744827099.1002333,154.0,0
